nama_perusahaan,komoditas,satuan,tahun,nilai
"Prima Lirang Mining, PT",Silver,kg,2006,
"Prima Lirang Mining, PT",Gold,kg,2007,
"Prima Lirang Mining, PT",Silver,kg,2007,
"Prima Lirang Mining, PT",Gold,kg,2008,
"Prima Lirang Mining, PT",Silver,kg,2008,
"Prima Lirang Mining, PT",Gold,kg,2009,
"Prima Lirang Mining, PT",Silver,kg,2009,
"Prima Lirang Mining, PT",Gold,kg,2010,
"Prima Lirang Mining, PT",Silver,kg,2010,
"Timah Tbk, PT",Tin metal,ton,2000,34106
"Timah Tbk, PT",Tin metal,ton,2001,39999
"Timah Tbk, PT",Tin metal,ton,2002,42832
"Timah Tbk, PT",Tin metal,ton,2003,43011
"Timah Tbk, PT",Tin metal,ton,2004,33492
"Timah Tbk, PT",Tin metal,ton,2005,41123
"Timah Tbk, PT",Tin metal,ton,2006,40684
"Timah Tbk, PT",Tin metal,ton,2007,57897
"Timah Tbk, PT",Tin metal,ton,2008,45771
"Timah Tbk, PT",Tin metal,ton,2009,49436
"Timah Tbk, PT",Tin metal,ton,2010,176065
